Theme,Disciplines,Anápolis,Formosa,Goiânia,Inhumas,Jataí,Luziânia,Uruaçu
Technological formation,Administração de redes de computadores,,,,54,,,
Technological formation,Administração de serviços para internet,,81,,,54,,
Math formation,Algebra linear,54,,,,,54,27
Groundwork formation,Algoritmos,54,162,54,108,108,54,
Technological formation,Análise de sistemas,54,108,54,108,81,54,108
Technological formation,Arquitetura de computadores,108,,54,54,,54,54
Technological formation,Auditoria e segurança da informação,,54,54,54,,,
Technological formation,Banco de dados,108,135,108,108,135,108,108
Math formation,Cálculo diferencial e integral,189,54,81,,,54,54
Math formation,Cálculo numérico,54,,,,,,
Humanistic formation,Comportamento organizacional,,,54,,,,
Technological formation,Computação gráfica,54,54,,,54,,
Math formation,Contabilidade básica,,,27,,,,
Humanistic formation,Didática,54,,,,,,
Humanistic formation,Empreendedorismo,54,,54,54,54,54,
Technological formation,Engenharia de requisitos,,54,,54,,,
Technological formation,Engenharia de software,54,81,54,54,108,54,54
Technological formation,Estruturas de dados,108,162,108,81,81,54,54
Complementary formation,Ética e legislação na informática,,27,27,27,54,54,27
Technological formation,Física aplicada à ciência da computação,54,,,,,,
Groundwork formation,Fundamentos da computação,54,81,,27,54,,27
Groundwork formation,Fundamentos de economia,,,,27,,,
Groundwork formation,Fundamentos de sistemas de informação,,27,54,27,,54,54
Technological formation,Gerência de projetos,,54,54,54,,54,54
Humanistic formation,Gestão ambiental,,27,27,27,,27,27
Technological formation,Gestão da tecnologia da informação,,,54,,,54,
Humanistic formation,Gestão de custos,,,,54,,,
Humanistic formation,Gestão de pessoas,,,,27,,,
Humanistic formation,Gestão do conhecimento,,,54,,,,
Humanistic formation,Governança corporativa,,,,54,,,
Technological formation,Governança de tecnologia da informação,,,54,54,,54,54
Technological formation,Gramáticas e compiladores,54,,,,,,
Humanistic formation,Inglês instrumental,,27,,54,54,54,54
Technological formation,Inteligência artificial,81,,54,,54,,54
Technological formation,Interação humano-computador,27,27,27,54,54,54,54
Technological formation,Introdução à robótica,,,,,,,54
Technological formation,Introdução aos sistemas digitais,54,,,,,,
Technological formation,Laboratório de programação,81,,,,,,
Humanistic formation,Língua brasileira de sinais,54,27,54,54,54,,27
Humanistic formation,Língua portuguesa,,,54,,,54,54
Groundwork formation,Lógica computacional,54,54,54,54,,54,54
Technological formation,Manutenção de softtware,,,54,,,,
Math formation,Matemática elementar,54,54,,,54,54,54
Math formation,Matemática financeira,,,,54,,,
Groundwork formation,Metodologia científica,27,27,27,27,54,54,54
Technological formation,Mineração de dados,81,,,,,,
Technological formation,Padrões de projetos,,,,,,54,
Technological formation,Paradigmas de programação,54,,,,,,
Math formation,Pesquisa operacional,108,,54,54,,,
Humanistic formation,Planejamento estratégico,,,,54,,,
Technological formation,Prática fábrica de software,,,,162,,,
Math formation,Probabilidade e estatística,81,27,54,54,,54,54
Technological formation,Processamento digital de imagens,54,,,,,,
Technological formation,Programação,,,,,,108,
Technological formation,Programação orientada a objetos,81,54,108,108,189,,108
Technological formation,Programação para dispositivos móveis,54,,,54,,,54
Technological formation,Programação para web ,54,162,54,108,162,54,108
Technological formation,Projeto avançado de algoritmo,54,,,,,,
Technological formation,Projeto de sistemas de informação,,,54,,,54,
Complementary formation,Projeto interdisciplinar,,,,,324,,
Technological formation,Qualidade de software,,54,54,108,,54,54
Technological formation,Redes de computadores,54,81,54,54,54,54,54
Technological formation,Redes móveis,,,,54,,,
Humanistic formation,Relações étnico-raciais e cultura afro-brasileira e indígena,27,27,54,27,,54,27
Technological formation,Segurança da informação,,54,,,54,54,54
Technological formation,Sistemas de informação aplicados a tomada de decisão,,,54,,,54,
Technological formation,Sistemas distribuídos,54,81,54,54,54,54,27
Groundwork formation,Sistemas operacionais,54,81,54,54,54,54,54
Humanistic formation,Tecnologia e sociedade,54,27,27,27,54,54,27
Humanistic formation,Tecnologias da educação,54,,,,,,
Technological formation,Tecnologias emergentes,,,,54,,,
Technological formation,Teoria da computação,54,,,,,,
Technological formation,Teoria dos grafos,54,,,,,,
Math formation,Teoria dos números,,,54,54,,,
Humanistic formation,Teoria geral da administração,,,54,,,54,54
Complementary formation,Tópicos avançados em computação,,81,54,,,54,
Complementary formation,Tópicos especiais,108,,162,,,,
